mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,N,P,K
162,101,132,19,62,131,20.0,74.8,53.5
146,124,114,28,72,159,20.0,66.4,49.0
81,102,41,28,63,89,40.33,18.4,63.0
80,82,115,30,41,167,33.67,43.0,52.0
101,141,99,20,34,121,20.0,54.4,73.5
167,104,103,29,22,160,20.0,57.8,57.0
132,88,57,8,44,119,30.67,54.8,54.0
68,139,92,6,39,151,24.33,39.2,60.5
103,57,86,7,33,140,31.0,43.2,20.5
63,51,45,26,61,63,74.0,35.2,21.5
93,123,101,8,33,154,20.0,36.2,53.5
137,136,101,12,40,139,20.0,56.8,67.0
112,73,65,29,79,119,38.67,37.8,49.5
74,94,104,29,26,68,20.0,25.6,39.0
147,112,50,23,36,67,20.0,45.8,41.0
64,155,80,32,26,132,20.0,21.6,63.5
92,97,62,34,43,96,28.33,32.8,40.5
145,140,74,5,54,160,20.0,56.0,57.0
60,54,129,27,33,162,37.0,23.0,26.0
149,91,116,23,51,162,20.0,63.6,58.5
155,53,133,9,42,162,20.0,61.0,21.5
88,85,52,11,78,174,36.0,29.2,39.5
121,106,45,32,47,167,30.33,52.4,67.0
121,124,131,29,58,121,20.0,33.4,71.0
86,111,116,13,22,162,20.0,26.4,66.5
68,111,76,5,70,165,36.0,35.2,54.5
118,81,135,28,60,111,20.0,61.2,41.5
117,101,51,34,58,61,22.33,47.8,39.5
172,105,120,31,68,61,20.0,80.8,58.5
146,150,135,5,20,78,20.0,63.4,71.0
149,81,109,27,23,114,20.0,67.6,51.5
76,87,63,9,71,157,39.67,36.4,38.5
171,65,136,13,79,118,20.0,68.4,45.5
62,69,98,8,38,149,35.67,27.8,38.5
155,120,91,13,52,99,20.0,64.0,52.0
60,60,131,29,44,109,35.33,11.0,21.0
75,139,99,21,21,60,20.67,44.0,65.5
128,86,71,31,74,68,23.0,38.2,46.0
107,129,42,24,43,113,20.0,50.8,68.5
134,121,75,10,59,143,20.0,53.6,74.5
